ФИО лица выдавшего Поручение,Дата Поручения,Номер Поручения,Досудебное урегулирование,Дата Претензии/Уведомления,Номер Претензии/Уведомления,Номер Дела,Исполнитель от Юридического отдела (ФИО),Дата Иска,Иск - Входящий/Исходящий,Истец,Ответчик,Третьи лица,Исковое требование,Предмет Искового требования,Основной долг (Сумма Иска предъявленного Москомнаследием),Пени (Пени Иска предъявленного Москомнаследием),Комментарий,Инстанция,Дата судебного заседания,Время судебного заседания,Результат рассмотрения судебного заседания,Вид Решения Суда,Дата решения Суда,Основной долг (По решению суда),Пени (По решению суда),Примечание,Идентификатор,Аппеляционная инстанция,Кассационная инстанция,Номер Исполнительного листа,Дата поступления Исполнительного листа,Дата направления Исполнительного листа,Отдел службы судебных приставов,Комментарий к исполнительному производству,Дата исполнения решения,Результат исполнения,key,link
,,,,,,"А40-41351/06-52-284","Титова А.В.",,,"Москомнаследие","ОАО «Стройспортсервис»","нет.",,"о выселении",,,"назначено на 16.10.2006 на 11.00, назначено на 12.12.2006  вынесено решение о выселении",,,"11:30:00",,,,,,,"*",,,,,,,,,,157,3416
,,,,,,"А40-47276/06-85-281","Титова А.В.",,,"ФГУК ""АУИПИК""","ДИгМ ","Мосокмнаследие",,"о признании права собственности РФ, признании незаконным зарегист-ого права собственности ",,,"решение о признании права собственности РФ, о признании недействительным прав собственности Москвы, в остальной части иска отказать, подана апелляционная жалоба.",,,,"в апелляции решение отменено, в иске отказано",,,,,,"*",,,,,,,,,,158,3416
,,,,,,"А40-33435/06-120-194","Титова А.В.",,"Входящий","Кооператив «Содружество»","ДИгМ ФАУФИ ","Москомнаследие",,"Признании незаконными действий по внесению в реестр объектов недвижимости г. Москвы права собст-сти",,,"отложено на 10.10.2006, в иске отказано, подана апелляционная жалоба, назначено на 10.01.2007 на 16.00. В иске отказано.",,,,,,,,,,"*",,,,,,,,,,159,3421
,,,,,,"2-4241/11; 2-5346/10; 2-173/2012 Мещан р/с (н/х)","Рутто Д.Р.","09/27/10 00:00:00","Входящий","Филд Р.К.","ДИгМ","Москомнаследие","Иное...","признание права собственности  на помещение 1",,,"Кассация.Подано заявление о восстановлении пропущенного срока на подачу а/ж.Апелляция. Писменные дополнения к апелляционной жалобе Филд Р.К.","Апелляция (Мосгорсуд)","11/22/12 00:00:00","14:00:00",,,,,,,"*",,,,,,,,,,160,3422
,,,,,,"А40-56249/05-38-99",,,,"кооператив «Содружество»","Мосокмнаследие ООО «Базальт-А Групп», ЗАО «МХК»",,,"Признание недействительным соглашения о перенайме",,,"В иске отказано",,,,,,,,,,"*",,,,,,,,,,163,3423
,,,,,,"А40-66425/06-89-558","Титова А.В.","01/01/06 00:00:00","Исходящий","Москомнаследие","ООО «Коммунальная техника»",,"Взыскать","Взыскание 13.602.887 руб. 60 коп.",6801443.0000,6801443.0000,"Постановление об окончании исполнительного производства  (05.09.2008). Постановление от 05.09.2008 о снятии ареста с имущества должника",,,,"Решение взыскать","Взыскать","01/20/07 00:00:00",6801443.0000,1000000.0000,,"*",,,,,,,,,,165,3449
,,,,,,"А40-45192/04-82-515","Титова А.В.",,"Исходящий","Москомнаследие","ОАО «Мостуризм»","ФАУФИ, ФГУК","Взыскать","взыскание задолженности по арендной плате в размере
12.677.472 руб.",12677472.1400,,"приостановлено (299-ПП), подана апелляция, назначено на 23.10.2006, 30.10.2006 Дело оставили приостановленным, подана кассационая жалоба, назначено на 19.01.2007 в 11.30, в иске отказано. Возобновлено.Кассация.",,"03/04/08 00:00:00","11:30:00","решение в силе: в иске отказано","Отказ в Исковых требованиях","11/16/07 00:00:00",,,,"*",,"Решение в силе (05.03.08)",,,,,,,,21,3123
,,,,,,"А40-51859/06-64-341","Титова А.В.",,"Исходящий","Москомнаследие","ООО «ПрофГрупБизнес»",,"Расторгнуть","расторжение договора",,,,,"12/06/07 00:00:00","10:00:00","отказ от иска. Производство прекращено.",,,,,,"*",,,,,,,,,,22,3377
,,,,,,"А40-58507/06-59-416","Титова А.В.","01/01/06 00:00:00","Входящий","ДИгМ","МКН, ООО «ПрофГрупБизнес», ОАО «Центрстроймеханизация», ГУ ФРС по Москве",,"Иное...","о признании недействительным соглашения о передаче прав и обяз-тей, доп. соглашения, признании недейст-ной гос. Регистрации",,,"Кассационная жалоба ДИГМ",,"10/02/07 00:00:00","15:00:00","19.04.2007 В иске отказать.     Апелляция -решение Арбитражного суда оставить в силе","Иное...","07/05/07 00:00:00",,,,"*",,"Решение в силе (16.11.07)",,,,,,,,23,3377
,,,,,,"А40-11464/06-28-107","Рутто Д.Р.",,"Исходящий","Москомнаследие","ООО «Атлантида» и ООО «Арбат»",,"Иное...","Признание договора недействительным",,,"иск был удовлетворен; отказано в решении; подана кассация",,,,"Кассацию отклонили, апелляцию оставили в силе",,,,,,"*",,,,,,,,,,24,3378
,,,,,,"А402621/06-43-25","Рутто Д.Р.",,"Исходящий","Москомнаследие","ООО «Атлантида»",,"Иное...","Внесение изменений в охранное обязательство собственника",,,,,,,,,,,,,"*",,,,,,,,,,25,3378
,,,,,,"А40-55511/06-125-324","Белкина Е.К.",,,"Москомнаследие","ООО «Арс Сервис Люкс»",,,"о взыскании задолженности 3.630.052, 07 руб.",,,,,,,"отказ от иска",,,,,,"*",,,,,,,,,,27,3380
,,,,,,"А40-55512/06-137-477","Белкина Е.К.",,,"Москомнаследие","Арс Сервис Люкс",,,"о взыскании 3.600.502, 12 руб.",,,,,"11/09/06 00:00:00",,"Отказ от иска",,,,,,"*",,,,,,,,,,28,3380
,,,,,,"А40-70310/05-77-575",,,,"Москомнаследие","ЗАО «Эстмарк»",,,"о расторжении договора",,,,,"08/11/06 00:00:00",,,,,,,,"*",,,,,,,,,,29,3381
,,,,,,"А40-58300/06-89-455","Титова А.В.",,"Исходящий","Москомнаследие","ЗАО «На Ильинке»",,"Взыскать","о взыскании 1.581.198 руб. 69 коп.",,,"назначено на 28.09.2006,отложено на 17.10.2006, 27.11.2006",,,,"в иске отказано","Отказ в Исковых требованиях",,,,,"*",,,,,,,,,,33,3382
,,,,,,"А40-47015/06-2-177",,,,"ООО «ПСК ТАК»","МКН",,,"о признании частично недействительным протокола экспертной комиссии",,,"в иске отказано, подана апелляция,назначено на 19.10.2006 на 15.30,Постановлением Апелляционного суда от 26.10.2006 решение Арбитражного суда оставлено без изменения,апелляционная жалоба без удовлетворения, подана кассационная жалоба",,,,,,,,,,"*",,,,,,,,,,34,3383
,,,,,,"А40-58301/06-59-400","Спиридонов А.А. ?","09/10/06 00:00:00","Исходящий","Москомнаследие","ООО «Нацстройинвест»",,"Взыскать","о взыскании задолженности по арендной плате и пени в сумме 2.782.133 руб.",1391066.5000,1391066.5000,,,"11/09/06 00:00:00",,"Решением Арбитражного суда взыскать","Взыскать","11/16/06 00:00:00",630093.5400,200000.0000,,"*",,,,,,,,,,35,3384
,,,,,,"А40-6798/06-146-67",,,"Входящий","ЗАО «Научно-технический инжениринг»","МКН ГУ ФРС по г. Москве",,,"о признании недействительной гос. регистрации прав на недвижимое имущество",,,,,,,,,,,,,"*",,,,,,,,,,41,3385
,,,,,,"А40-64518/05-21-375",,,"Входящий","«Дома медика»","Москомнаследие",,"Иное...","Признание незаконным предписания",,,"в иске отказано, в апелляции решение оставлено в силе, кассация подана",,,,,,,,,,"*",,,,,,,,,,42,3386
,,,,,,"А40-39679/06-11-297","Титова А.В.",,"Входящий","ООО «Логоваз»","Москомнаследие",,,"Взыскание 100.000 руб.",,,,,"10/26/06 00:00:00",,"В иске отказано. Апелляция в силе.",,,,,,"*",,,,,,,,,,43,3387
,,,,,,"А40-42252/02-125-300","Рутто Д.Р.",,"Входящий","Минимущество","МКН Прави-во Москвы,",,"Собственность РФ","Признание недействительным зарегистрированного права собственности г. Москвы и права о/у МКН",,,"Приостановлено до вступления в силу судебного акта по делу № А40-26861/02-79-162 (299-ПП). Отказано в возобновлении производства по делу 02.06.08. Возобновлено 24.12.2009. Апелляция. Ходатайство ФГБУК ""АУИПИК"" о процессуальном правоприемстве, об отмене обеспечения иска.Определением АС от 23.08.11 об отмене обеспечительных мер (по определению АС от 02.12.02) Определением АС от 26.12.11 отказано в удовлетворении ходатайства ФГБУК ""АУИПИК"" о процессуальном правопреемстве.","Первая инстанция","12/26/11 00:00:00","12:50:00","решение отменено, в иске отказано.","Иное...",,,,,"*","Решение отменено, в иске отказано",,,,,,,,,44,3388
,,,,,,"А40-27881/06-149-188","Спиридонов А.А.","02/01/06 00:00:00","Входящий","ООО «Новейшие технологии и связь»","МКН ДЗР г. Москвы Прави-во Москвы",,"Иное...","о признании незаконным решения",,,"Апелляция.","Апелляция","06/21/10 00:00:00","10:00:00","в иске отказано","Иное...","08/07/06 00:00:00",,,,"*","Решение в силе (30.06.2010)",,,,,,,,,45,3389
,,,,,,"2-1408/15-06",,,,"Воронина А. А.","МКН",,,"о возмещении материального ущерба, причиненного падением дерева на машину",,,,,,,,,,,,,"*",,,,,,,,,,46,3390
,,,,,,"A40-48894/05-2-304",,,"Входящий"," ООО «Торговый дом Гильдии кинорежиссеров «Форум XXI век» ","Прави-во Москвы (Москомнаследие представляет интересы Правительства в суде)",,,"о признании недействительным ППМ от 26.07.05г. № 543-ПП",,,"отложено на 04.10.2006, перерыв до 10.10.2006, отложено на 31.10.2006",,"11/02/06 00:00:00",,,,,,,,"*",,,,,,,,,,47,3391
,,,,,,"А40-37121/05-148-347","Титова А.В.",,,"ФГУК ""АУИПИК""","Прави-во Москвы  (Москомнаследие участвует в судебных процессах в качестве представителя Правительства Москвы)","ФАУФИ",,"о признании недействительным РПМ от 07.06.05г. № 1010-РП в части вкл-ния в него объектов, расп-ных по адресам: 1-й Кадашевский пер. д. 10 стр.1, ул. Мясницкая д. 7 стр. 8, ул. Пречистенка д. 32/1 стр.8, Кривоколенный пер. д. 4 стр. 1",,,"11.01.2006 приостановлено до разрешения вопросов, указанных в споре. Возобновлено.",,"02/06/08 00:00:00","10:00:00","Решение изменено частично.В удовлетворении заявления ФГУК в части включения в приложение №1 объекта №37(Мясницкая ул. д.7 стр.8) отказать.","Собственность РФ",,,,,"*","Решение изменено (06.02.08)",,,,,,,,,48,3392
,,,,,,"А40-29013/02-122-138","Рутто Д.Р.","07/18/07 00:00:00","Входящий","Прокуратура г. Москвы ","Прави-во Москвы (Москомнаследие представляет интересы Правительства в суде) ООО «Глория Винекс»",,"Иное...","о признании недействительным ППМ от 28.11.2000г. № 937",,,"отложено на 07.11.2006, отложено на 13.11.2006, отложено на 21.11.2006 на 12.00, перерыв до 27.11.2006 до 9.30        19.12.2006 в иске отказано.апелляция.кассация.",,"07/18/07 00:00:00",,"постановление апелляции в силе, кассационная жалоба без удовлетворения (Постаногвление признано недействительным)","Иное...","07/23/07 00:00:00",,,,"*",,,,,,,,,,49,3393
,,,,,,"9С",,,,"Дробышев Л. П. И Лебедев Б. Н.","МКН, Правительство Москвы",,,"о признании недейстельным ППМ от 15.11.99г. № 1084 «О представлении гос. парку культуры и отдыха «Таганский» в поль-ние зем. участка",,,,,"04/04/07 00:00:00",,,,,,,,"*",,,,,,,,,,50,3394
,,,,,,"А40-25952/06-50-206","Рутто Д.Р.","01/01/06 00:00:00","Входящий","ООО «Альянс»","Москомнаследие",,"Взыскать","о взыскании 7.598.674руб. 15 коп.",3799323.5700,3799323.5700,"частично взыскано, подана апелляционная жалоба, кассация; направлено на новое рассмотрение. Апелляция. Кассация",,"01/14/08 00:00:00","10:30:00","Постановление апелляции в силе: решение отменить, апелляционную жалобу удовлетворить. В иске отказать.","Иное...","09/11/07 00:00:00",,,,"*",,"Постановление апелляции в силе (21.01.08)",,,,,,,,51,3395
,,,,,,"А40-9088/06-50-98",,,,"ООО «Нара»","Правительство Москвы, ООО «ПСК ТАК»","Москомнаследие",,"о признании инвестиционного контракта недействительным",,,"Дело рассмотрено в апелляции, подана кассационная жалоба, назначено на 30.10.2006 на 12.00",,,,,,,,,,"*",,,,,,,,,,52,3396
,,,,,,"А40-79969/06-82-560","Селиванова Е.А.","12/21/06 00:00:00","Исходящий","Москомнаследие","ГОУ Государственная еврейская академия им. Маймонида","нет.","Взыскать","о взыскании 11.098.695 руб. 35 коп.",5549347.6700,5549347.6700,,,"08/02/07 00:00:00","15:00:00","решение в силе, кассац. без удовлетворения (взыскать 98 355 руб)","Взыскать","08/02/07 00:00:00",983555.0000,98355.0000,,"*",,,,,,,,,,53,3397
,,,,,,"А40-43656/06-52-231","Титова А.В.",,,"Комитет по архитектуре и градостроительству","ЗАО «Макэкон»","Мосокмнаследие",,"о сносе самовольной постройки",,,"отказ от иска",,,,,,,,,,"*",,,,,,,,,,54,3398
,,,,,,"А40-28899/06-50-228 К. С.",,,,"ФГУК «Государственный республиканский центр русского фольклора»","ГУП МосгорБТИ ЦАО","Мосокмнаследие",,"о понуждении исполнения обязательств",,,,,,,,,,,,,"*",,,,,,,,,,55,3399
,,,,,,"А40-27062/06-135-201","Спиридонов А.А.","01/01/06 00:00:00","Входящий","ДЗР г. Москвы","ОАО «Центр отдыха и спорта «ОЛенКур»","Москомнаследие","Иное...","Освобождение земельного участка",,,"иск удовлетворен, подана апелляция, постановлением Апелляционного суда решение отменено,подана кассационная жалоба.Постановлением ФАС МО от 05.02.07дело направлено на новое рассмотрение. Апелляция. Кассация",,"07/22/08 00:00:00","14:30:00","решение в силе","Иное...","07/31/07 00:00:00",,,,"*","Решение в силе (21.12.07)","Решение в силе (04.06.08)",,,,,,,,56,3400
,,,,,,"А40-38650/06-50-305",,,,"ООО «Сатурн»","СГУП по продаже имущества г. Москвы","Москомнаследие","Иное...","об обязании СГУП заключить с ООО «Сатурн» договоров купли-продажи нежилых помещений 05.09.2006г. (стр. 2)",,,"иск удовлетворен, подана кассационная жалоба.",,,,,,,,,,"*",,,,,,,,,,57,3401
,,,,,,"А40-26142/03-92-302","Титова А.В.",,"Входящий","ДИгМ","ФАУФИ","Москомнаследие, Росохранкультура, ФГУ «АУПИПИК» ГУ «Стомататологическая поликлиника № 53 Управления здравоохранения ЦАО Москвы»","Иное...","о признании недействительным распоряжения Росминимущества № 429/1367-р от 22.12.2000г. в части включения в него объекта",,," 29.01.2007 в 11.00 решением Арбитражного суда в иске отказано.                                               АПЕЛЛЯЦИЯ Решение в силе. Кассация",,"08/13/07 00:00:00","16:00:00","решение АС и постановление апелляции отменено. производство прекращено в связи с отказом от иска.","Иное...","08/20/07 00:00:00",,,,"*",,,,,,,,,,58,3402
,,,,,,"А40-73691/05-64-575","Титова А.В.",,,"ФГУК ""АУИПИК""","ЗАО «Диалог»","Москомнаследие",,"о замене стороны по договору аренды и о взыскании 831.391руб.",,,"перенесено на 11.10.2006 на 10.00, 21.11.2006",,,"10:00:00","в иске отказао",,,,,,"*",,,,,,,,,,59,3403
,,,,,,"А40-75549/05-43-660",,,,"ДИгМ","ФАУФИ","Суд не привлек Мосокмнаследие в качестве 3-го лица",,"о признании права собственности",,,,,,,,,,,,,"*",,,,,,,,,,60,3403
,,,,,,"А40-78881/05-85-651","Титова А.В.","01/01/05 00:00:00","Входящий","Департамент жил. политики и жил. фонда г. Москвы","Росимущество","Москомнаследие","Собственность Москвы","о признании права собственности Москвы",,,"решение Арбитражного суда и Апелляционного суда отменено, направлено на новое рассмотрение в Арбитражный суд,назначено на 04.12.2006 на 12.45, отложено на 10.01.2007.Апелляция. Кассация",,"01/14/08 00:00:00","10:00:00","Постановление апелляции в силе. Признать право собственности г. Москвы ул. Пречистинка д.32/1, стр.8.","Собственность Москвы","06/07/07 00:00:00",,,,"*","Решение отменено. В иске отказано (27.08.07)","Постановление апелляции в силе (21.01.08)",,,,,,,,61,3405
,,,,,,"А40-75552/05-53-652","Титова А.В.","01/01/05 00:00:00","Входящий","ДИгМ","ФАУФИ","Москмнаследие","Собственность Москвы","о признании права собственности г. Москвы",,,"апел.жалоба ДИгМ. Кассация",,"01/15/08 00:00:00","15:00:00","решение в силе","Собственность РФ","08/09/07 00:00:00",,,,"*","Решение в силе (22.10.2007)","Решение в силе (18.01.08)",,,,,,,,62,3406
,,,,,,"А40-43682/03-50-452",,"01/01/06 00:00:00","Входящий","ДИгМ","ФАУФИ","Москомнаследие ФГУК «АУИПИК»","Собственность Москвы","Признание права собственности Москвы (в отношении стр.1)",,,"Решением от 24.10.2006 в иске отказано, подана апелляционная жалоба, кассация",,"05/30/07 00:00:00",,"Решение Арбитражного суда, апелляции оставить в силе","Собственность РФ","06/01/07 00:00:00",,,,"*","Решение в силе (14.03.2007)","Решение в силе (01.06.2007)",,,,,,,,63,3407
,,,,,,"А40-51446/07-43-383","Титова А.В.","01/01/06 00:00:00","Входящий","ООО «Кадашевские палаты»","СГУП по продаже имущества г. Москвы","Москомнаследие, ДИгМ","Иное...","Понуждение заключить договор купли-продажи",,,"Апелляция. Кассация. Определение ВАС от 15.06.2009 о передаче дела в Президиум ВАС РФ. ВАС - постановление кассационной инстанции отменено, судебные акты I и II инстанций в силе. Заявление ООО ""Кадашевские палаты"" о выдаче дубликата исп.листа удовлетворено 15.04.2010.",,"04/15/10 00:00:00","11:15:00","постановлением ВАС РФ от 08.09.09  постановление ФАС МО отменено, решение оставлено в силе (иск удовлетворен)","Иное...","10/22/07 00:00:00",,,"Решение 15.12.2006: в иске отказано. Апелляция 13.03.2007: решение в силе. Кассация 09.07.2007: судебные акты отменены, дело на новое рассмотрение.","*","Решение в силе (05.08.08)","Судебные акты отменены, в иске отказано (01.11.2008) - постановление отменено, решение в силе.",,,,,,,,64,3408
,,,,,,"А40-35619/06-53-251","Титова А.В.",,"Входящий","Росимущество","ДИгМ","Мосокмнаследие","Собственность РФ","о признании права собственности за РФ",,,"апелляция.",,"11/13/07 00:00:00","11:30:00","Решение в силе: в иске отказано","Собственность Москвы","08/07/07 00:00:00",,,,"*","Решение в силе (20.11.07)",,,,,,,,,65,3409
,,,,,,"А40-36843/07-54-101","Рутто Д.Р.","07/23/07 00:00:00","Входящий","ФАУФИ","Международный центр Рерихов","Москомнаследие, ДИгМ, ФГУК ""Государственный музей Востока""","Иное...","Выселение",,,"Новое рассмотрение.Опеределением АС от 29.09.2009 производство по делу приостановлено до вступления в законную силу решения по делу № А40-26861/02-79-162 - кассация.определение оставлено в силе (25.11.09)",,"11/18/09 00:00:00","14:30:00","приостановлено",,,,,"Решением АС от 08.08.2008: в иске отказано. Кассация 24.12.2008: решение от 08.08.2008 отменено, дело на новое рассмотрение.","*",,"Решение отменено, дело на новое рассмотрение (24.12.2008",,,,,,,,66,3410
,,,,,,"А40-31005/05-149-282","Рутто Д.Р.",,"Входящий","Министерство природных ресурсов РФ, Всероссийский НИИ охраны природы","Правительство Москвы","Мосокмнаследие, ФАУФИ, Росприроднадзор, ГУ «Природно-ист. парк «Битцевский лес», Росохранкультура","Иное...","о признании недействительными ненормативных актов (преамбула и п. 1-4 ППМ №324-ПП) (рассмотрение определения о правоприемстве)",,,"Апелляция. Кассация. Определение ВАС о принятии к производству заявления ПМ о пересмотре судебных актов в порядке надзора. Определение ВАС от 17.05.2010 об отказе в передаче дела в Президиум ВАС.",,"09/25/17 00:00:00","09:35:00","в иске отказано","Иное...","06/16/09 00:00:00",,,"Решение 31.10.2007 иск удовлетворен. Апелляция 26.03.2008 решение в силе. Кассация 22.10.2008 решение отменено, дело на новое рассмотрение","*","Решение в силе (15.09.2009)","Судебные акты отменены, требования удовлетворены (17.12.2009)",,,,,,,,67,3411
,,,,,,"А40-42459/06-149-256",,,,"ООО «Наш дом»","ГУ ФРС по г. Москве","Мосокмнаследие",,"о признании незаконным отказа в государственной регистрации",,,"отказано в иске, подана апелляционная жалоба,назначено на 29.11.2006Постановлением Апелляционного суда от 06.12.2006 решение оставлено без изменения, апелляционная жалоба без удовлетворения.     24.04.07. Кассация отказ, все без изменений.",,,"11:00:00",,,,,,,"*",,,,,,,,,,68,3412
,,,,,,"А40-7447/05-53-641",,,"Входящий","ООО «Палладиумстройсервис»","Прави-во Москвы Префектура ЦАО Департамент жил. политики и жил. фонда, ДИгМ","Мосокмнаследие","Иное...","Определение и выделение доли, признание права собственности",,,"Дело находится в Апелляционном суде, подана кассационная жалоба.",,"10/26/06 00:00:00",,,,,,,,"*",,,,,,,,,,69,3413
,,,,,,"А40-58556/04-144-73",,"10/10/06 00:00:00",,"Заместитель прокурора г. Москвы","ДИгМ","Москомнаследие, ОАО «СОРТС» ОАО «Зарубежстрой», ФАУФИ",,"о признании недействительным распоряжения ДИгМ № 4527-р от 16.10.03г. ",,,"отложено на 10.10.2006 на 12.00, назначено на 09.11.2006",,"10/10/06 00:00:00",,"производство по делу прекращено",,,,,,"*",,,,,,,,,,70,3414
,,,,,,"А40-47266/06-52-340","Титова А.В.",,"Входящий","ФГУК ""АУИПИК""","ДИгМ","Москомнаследие",,"о признании права собственности РФ",,,"Решение В исковых требованиях отказать 01.03.2007.                                Апелляция 30.05.2007 решение в силе",,,,,,,,,,"*",,,,,,,,,,71,3415
