id;Краткое название;Полное наименование;Бренд;Электронная почта;Телефон;Факс;ОКВЭД;Бик;ИМНС;КПП;ОКПО;р/счет;кор/счет;ОГРН;ОГРН: Кто выдал;ОГРН: Номер;ОГРН: Дата;ОГРН: Адрес;ИНН;ИНН: Дата получения;ИНН: Место получения;Банк;ОКОПФ;Форма собственности;Отрасль
6C2B1186-A86F-E811-80B9-005056807186;УФК ПО Г. МОСКВЕ;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОГО КАЗНАЧЕЙСТВА ПО Г. МОСКВЕ;NULL;NULL;NULL;NULL;NULL;NULL;7725;772501001;NULL;NULL;NULL;1027739568471;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7725074789;2012-07-22 21:00:00.000;Инспекция Федеральной налоговой службы № 25 по г.Москве;NULL;NULL;NULL;другая
BF75EFF7-A46F-E811-80B9-005056807186;"ООО ""ИНВЕСТИЦИИ И СТРОИТЕЛЬСТВО""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНВЕСТИЦИИ И СТРОИТЕЛЬСТВО""";NULL;NULL;NULL;NULL;NULL;NULL;7704;770401001;NULL;NULL;NULL;1047796156594;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7704514630;2015-07-22 21:00:00.000;Инспекция Федеральной налоговой службы № 4 по г.Москве;NULL;NULL;NULL;другая
08443E9C-A26F-E811-80B9-005056807186;"ООО ""ГАРАНТ ПАРТНЕР""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАРАНТ ПАРТНЕР""";NULL;NULL;NULL;NULL;NULL;NULL;7709;770901001;NULL;NULL;NULL;1047796031942;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7725502924;2008-09-16 22:00:00.000;Инспекция Федеральной налоговой службы № 9 по г.Москве;NULL;808C146A-3B4B-E111-9F82-00155D003200;NULL;другая
FB8EA9A5-A06F-E811-80B9-005056807186;"ООО ""ГАРАНТ ПАРТНЕР""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАРАНТ ПАРТНЕР""";NULL;NULL;NULL;NULL;NULL;NULL;7709;770901001;NULL;NULL;NULL;1047796031942;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7725502924;2008-09-16 22:00:00.000;Инспекция Федеральной налоговой службы № 9 по г.Москве;NULL;808C146A-3B4B-E111-9F82-00155D003200;NULL;другая
F9F8FE00-9E6F-E811-80B9-005056807186;"ООО ""ГАРАНТ ПАРТНЕР""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАРАНТ ПАРТНЕР""";NULL;NULL;NULL;NULL;NULL;NULL;7709;770901001;NULL;NULL;NULL;1047796031942;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7725502924;2008-09-16 22:00:00.000;Инспекция Федеральной налоговой службы № 9 по г.Москве;NULL;808C146A-3B4B-E111-9F82-00155D003200;NULL;другая
F7641FD1-9A6F-E811-80B9-005056807186;"ООО ""ГАРАНТ ПАРТНЕР""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАРАНТ ПАРТНЕР""";NULL;NULL;NULL;NULL;NULL;NULL;7709;770901001;NULL;NULL;NULL;1047796031942;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7725502924;2008-09-16 22:00:00.000;Инспекция Федеральной налоговой службы № 9 по г.Москве;NULL;808C146A-3B4B-E111-9F82-00155D003200;NULL;другая
BC6F53E2-066F-E811-80B9-005056807186;ГЛАВУПДК ПРИ МИД РОССИИ;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГЛАВНОЕ ПРОИЗВОДСТВЕННО-КОММЕРЧЕСКОЕ УПРАВЛЕНИЕ ПО ОБСЛУЖИВАНИЮ ДИПЛОМАТИЧЕСКОГО КОРПУСА ПРИ МИНИСТЕРСТВЕ ИНОСТРАННЫХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ""";NULL;mustimova@updk.ru;NULL;NULL;NULL;NULL;7704;770401001;NULL;NULL;NULL;1027700347840;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7704010978;1991-06-03 22:00:00.000;Инспекция Федеральной налоговой службы № 4 по г.Москве;NULL;NULL;NULL;другая
4A1E3383-E86E-E811-80B9-005056807186;ГОСУДАРСТВЕННАЯ ПУБЛИЧНАЯ ИСТОРИЧЕСКАЯ БИБЛИОТЕКА РОССИИ;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ ""ГОСУДАРСТВЕННАЯ ПУБЛИЧНАЯ ИСТОРИЧЕСКАЯ БИБЛИОТЕКА РОССИИ""";NULL;NULL;NULL;NULL;NULL;NULL;7709;770901001;NULL;NULL;NULL;1027700033350;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7709037684;1994-07-12 22:00:00.000;Инспекция Федеральной налоговой службы № 9 по г.Москве;NULL;NULL;NULL;другая
3AC4F63D-C36B-E811-80B9-005056807186;"Местная религтозная организация ""Православный приход храма Знамения иконы Божией Матери в Захарьино г.Москвы, Московской епархии Русской Православной Церкви (Московский Патриархат)""";МЕСТНАЯ РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ПРАВОСЛАВНЫЙ ПРИХОД ХРАМА ЗНАМЕНИЯ ИКОНЫ БОЖИЕЙ МАТЕРИ В ЗАХАРЬИНО ГОР. МОСКВЫ МОСКОВСКОЙ ЕПАРХИИ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ (МОСКОВСКИЙ ПАТРИАРХАТ);NULL;NULL;NULL;NULL;NULL;NULL;7727;772701001;NULL;NULL;NULL;1037700126386;Управление Федеральной налоговой службы по г.Москве;NULL;NULL;NULL;7727045085;2014-09-07 22:00:00.000;Инспекция Федеральной налоговой службы № 27 по г.Москве;NULL;9A8C146A-3B4B-E111-9F82-00155D003200;NULL;другая
13036DBA-AC6B-E811-80B9-005056807186;"ООО ""СЕРВИСЭКСПЕРТ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИСЭКСПЕРТ""";NULL;NULL;NULL;NULL;NULL;NULL;7709;770901001;NULL;NULL;NULL;1057747248130;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7701602207;2009-11-11 21:00:00.000;Инспекция Федеральной налоговой службы № 9 по г.Москве;NULL;NULL;NULL;другая
1E4BC58B-B4EA-E211-81E2-005056807186;"ООО ""Никита и Ко""";"Общество с ограниченной ответственностью ""Никита и Ко""";NULL;NULL;NULL;NULL;NULL;NULL;7706;770601001;NULL;NULL;NULL;1037739080235;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7706108947;2003-01-13 20:00:00.000;Инспекция Министерства Российской Федерации по налогам и сборам №6 по Центральному административному округу г.Москвы;NULL;NULL;NULL;другая
0DD64E68-D467-E811-80B9-005056807186;"ООО ""РЕСТАВРАТОР""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕСТАВРАТОР""";NULL;NULL;NULL;NULL;NULL;NULL;7705;770501001;NULL;NULL;NULL;1117746847349;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7726685090;2014-06-29 22:00:00.000;Инспекция Федеральной налоговой службы № 5 по г. Москве;NULL;808C146A-3B4B-E111-9F82-00155D003200;NULL;другая
0CCA1754-D267-E811-80B9-005056807186;"ООО ""РЕСТАВРАТОР""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕСТАВРАТОР""";NULL;NULL;NULL;NULL;NULL;NULL;7705;770501001;NULL;NULL;NULL;1117746847349;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7726685090;2014-06-29 22:00:00.000;Инспекция Федеральной налоговой службы № 5 по г. Москве;NULL;808C146A-3B4B-E111-9F82-00155D003200;NULL;другая
445FD936-D067-E811-80B9-005056807186;"ООО ""РЕСТАВРАТОР""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕСТАВРАТОР""";NULL;NULL;NULL;NULL;NULL;NULL;7705;770501001;NULL;NULL;NULL;1117746847349;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7726685090;2014-06-29 22:00:00.000;Инспекция Федеральной налоговой службы № 5 по г. Москве;NULL;808C146A-3B4B-E111-9F82-00155D003200;NULL;другая
9392E012-7565-E811-80B9-005056807186;Местная  религиозная организация Православный приход храма святителя Николая Мирликийского в Сабурове;Местная  религиозная организация Православный приход храма святителя Николая Мирликийского в Сабурове;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1037739774313;NULL;NULL;NULL;NULL;7724046186;NULL;NULL;NULL;NULL;NULL;другая
CBC9A90D-BF64-E811-80B9-005056807186;ФГБУН ИВ РАН;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ НАУКИ ИНСТИТУТ ВОСТОКОВЕДЕНИЯ РОССИЙСКОЙ АКАДЕМИИ НАУК;NULL;NULL;NULL;NULL;NULL;NULL;7702;770201001;NULL;NULL;NULL;1037739314084;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7702028909;2003-01-29 21:00:00.000;Инспекция Федеральной налоговой службы № 2 по г.Москве;NULL;NULL;NULL;другая
A0275EF0-DFD3-E511-81EF-005056807186;"ООО ""СТОУН ДЕВЕЛОПМЕНТ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТОУН ДЕВЕЛОПМЕНТ""";NULL;NULL;NULL;NULL;NULL;NULL;7705;770501001;NULL;NULL;NULL;5077746931609;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7728624448;2013-03-06 21:00:00.000;Инспекция Федеральной налоговой службы № 5 по г. Москве;NULL;NULL;NULL;другая
0351293E-A764-E811-80B9-005056807186;"ООО ""РПО ""ТАВР""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕСТАВРАЦИОННО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""ТАВР""";NULL;NULL;NULL;NULL;NULL;NULL;7721;772101001;NULL;NULL;NULL;1037739153022;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7701237970;2017-06-13 21:00:00.000;Инспекция Федеральной налоговой службы № 21 по г.Москве;NULL;808C146A-3B4B-E111-9F82-00155D003200;NULL;другая
68BA6F4D-4063-E811-80B9-005056807186;"АО ""РСК ""МИГ""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКАЯ САМОЛЕТОСТРОИТЕЛЬНАЯ КОРПОРАЦИЯ ""МИГ""";NULL;inbox@rsk-mig.ru, mig@migavia.ru;NULL;NULL;NULL;NULL;7714;771401001;NULL;NULL;NULL;1087746371844;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;1087746371844;NULL;NULL;7714733528;2008-03-17 21:00:00.000;Инспекция Федеральной налоговой службы № 14 по г.Москве;NULL;7D8C146A-3B4B-E111-9F82-00155D003200;NULL;другая
3659ECFE-2E63-E811-80B9-005056807186;"ООО ""МВ-ПРОЕКТ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МВ-ПРОЕКТ""";NULL;NULL;NULL;NULL;NULL;NULL;7714;771401001;NULL;NULL;NULL;1077759693703;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7714710104;2007-09-02 22:00:00.000;Инспекция Федеральной налоговой службы № 14 по г.Москве;NULL;NULL;NULL;другая
552C7BB0-2A63-E811-80B9-005056807186;"ООО ""ПАРКОВАЯ РЕСТАВРАЦИЯ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРКОВАЯ РЕСТАВРАЦИЯ""";NULL;NULL;NULL;NULL;NULL;NULL;7728;772801001;NULL;NULL;NULL;1067746569076;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7724576730;2008-07-13 22:00:00.000;Инспекция Федеральной налоговой службы № 28 по г.Москве;NULL;NULL;NULL;другая
8381205B-2763-E811-80B9-005056807186;"ООО ""ПАРКОВАЯ РЕСТАВРАЦИЯ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРКОВАЯ РЕСТАВРАЦИЯ""";NULL;NULL;NULL;NULL;NULL;NULL;7728;772801001;NULL;NULL;NULL;1067746569076;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7724576730;2008-07-13 22:00:00.000;Инспекция Федеральной налоговой службы № 28 по г.Москве;NULL;NULL;NULL;другая
F23C4BF1-1D63-E811-80B9-005056807186;"ООО ""МОТУС""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОТУС""";NULL;NULL;NULL;NULL;NULL;NULL;7720;772001001;NULL;NULL;NULL;1177746376851;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7720377910;2017-04-12 21:00:00.000;Инспекция Федеральной налоговой службы № 20 по г.Москве;NULL;NULL;NULL;другая
51A6547E-4762-E811-80B9-005056807186;"ООО ""ПРОМЕТ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""ПРОМЕТ""";NULL;info@promet.su;NULL;NULL;NULL;NULL;7717;771701001;NULL;NULL;NULL;1067758765689;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7708616865;2009-07-08 22:00:00.000;Инспекция Федеральной налоговой службы № 17 по г.Москве;NULL;808C146A-3B4B-E111-9F82-00155D003200;NULL;другая
824968E4-0860-E811-80B9-005056807186;"ООО ""УПРАВЛЕНИЕ СБЕРЕЖЕНИЯМИ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЕНИЕ СБЕРЕЖЕНИЯМИ""";NULL;NULL;NULL;NULL;NULL;NULL;7706;770601001;NULL;NULL;NULL;1027700012119;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7731191498;2018-04-15 21:00:00.000;Инспекция Федеральной налоговой службы № 6 по г. Москве;NULL;NULL;NULL;другая
BA2D4895-0560-E811-80B9-005056807186;"ООО ""ПАРКОВАЯ РЕСТАВРАЦИЯ-ГАРДАРИКА""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРКОВАЯ РЕСТАВРАЦИЯ-ГАРДАРИКА""";NULL;parkiusadba@yandex.ru;NULL;NULL;NULL;NULL;7728;772801001;NULL;NULL;NULL;5087746291628;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7728674047;2008-10-21 22:00:00.000;Инспекция Федеральной налоговой службы № 28 по г.Москве;NULL;808C146A-3B4B-E111-9F82-00155D003200;NULL;другая
0DE4F493-0260-E811-80B9-005056807186;"ООО ""ПАРКОВАЯ РЕСТАВРАЦИЯ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРКОВАЯ РЕСТАВРАЦИЯ""";NULL;NULL;NULL;NULL;NULL;NULL;7728;772801001;NULL;NULL;NULL;1067746569076;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7724576730;2008-07-13 22:00:00.000;Инспекция Федеральной налоговой службы № 28 по г.Москве;NULL;NULL;NULL;другая
468B9235-2C5F-E811-80B9-005056807186;"ООО ""ПРАКТИКА РЕСТАВРАЦИИ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРАКТИКА РЕСТАВРАЦИИ""";NULL;info@pofr.ru;NULL;NULL;NULL;NULL;7725;772501001;NULL;NULL;NULL;1097746617836;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7725678460;2009-10-12 22:00:00.000;Инспекция Федеральной налоговой службы № 25 по г.Москве;NULL;808C146A-3B4B-E111-9F82-00155D003200;NULL;другая
CFD1F074-265F-E811-80B9-005056807186;МЕСТНАЯ РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ПРАВОСЛАВНЫЙ ПРИХОД ХРАМА ВОСКРЕСЕНИЯ СЛОВУЩЕГО В БАРАШАХ ГОР. МОСКВЫ МОСКОВСКОЙ ЕПАРХИИ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ (МОСКОВСКИЙ ПАТРИАРХАТ);МЕСТНАЯ РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ПРАВОСЛАВНЫЙ ПРИХОД ХРАМА ВОСКРЕСЕНИЯ СЛОВУЩЕГО В БАРАШАХ ГОР. МОСКВЫ МОСКОВСКОЙ ЕПАРХИИ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ (МОСКОВСКИЙ ПАТРИАРХАТ);NULL;NULL;NULL;NULL;NULL;NULL;7709;770901001;NULL;NULL;NULL;1027739221960;Управление Федеральной налоговой службы по г.Москве;NULL;NULL;NULL;7709183981;1995-12-13 21:00:00.000;Инспекция Федеральной налоговой службы № 9 по г.Москве;NULL;NULL;NULL;другая
322503F5-8A5E-E811-80B9-005056807186;"ООО ""СТРОЙПРОМИННОВАЦИЯ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙПРОМИННОВАЦИЯ""";NULL;NULL;NULL;NULL;NULL;NULL;7727;772701001;NULL;NULL;NULL;1127746164864;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7715907833;2018-03-06 21:00:00.000;Инспекция Федеральной налоговой службы № 27 по г.Москве;NULL;808C146A-3B4B-E111-9F82-00155D003200;NULL;другая
39AA7663-885E-E811-80B9-005056807186;"Общество с ограниченной ответственностью ""Стройпроминновация""";"Общество с ограниченной ответственностью ""Стройпроминновация""";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;7715907833;NULL;NULL;NULL;808C146A-3B4B-E111-9F82-00155D003200;NULL;другая
7594D34F-D9ED-E211-81E2-005056807186;"ОАО ""ГАО ВВЦ""";"Открытое акционерное общество ""Государственное акционерное общество ""Всероссийский выставочный центр""";NULL;NULL;NULL;NULL;NULL;NULL;NULL;771701001;NULL;NULL;NULL;1027700008874;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7717037582;NULL;NULL;NULL;NULL;NULL;другая
D7FDB4E5-4CF0-E211-81E2-005056807186;"ЗАО ""Бизнеспарк Новая Рига""";"Закрытое акционерное общество ""Бизнеспарк Новая Рига""";NULL;NULL;NULL;NULL;NULL;NULL;7705;770501001;NULL;NULL;NULL;1055004243557;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;5024074681;2010-08-05 20:00:00.000;Инспекция Федеральной налоговой службы № 5 по г. Москве;NULL;848C146A-3B4B-E111-9F82-00155D003200;NULL;другая
8D95CB70-8B5D-E811-80B9-005056807186;"Корпоративный фонд ""Торгово-выставочный центр"" КАЗАХСТАН";"Корпоративный фонд ""Торгово-выставочный центр"" КАЗАХСТАН";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0000000000;NULL;NULL;NULL;NULL;NULL;другая
7387CEEA-F15C-E811-80B9-005056807186;"ООО ""КОРТЕК""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОРТЕК""";NULL;NULL;NULL;NULL;NULL;NULL;7709;770901001;NULL;NULL;NULL;1077757966483;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7709748800;2007-07-15 22:00:00.000;Инспекция Федеральной налоговой службы № 9 по г.Москве;NULL;NULL;NULL;другая
5EA95329-CB5C-E811-80B9-005056807186;ИФЗ РАН;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ НАУКИ ИНСТИТУТ ФИЗИКИ ЗЕМЛИ ИМ. О.Ю. ШМИДТА РОССИЙСКОЙ АКАДЕМИИ НАУК;NULL;NULL;NULL;NULL;NULL;NULL;7703;770301001;NULL;NULL;NULL;1027739828610;Межрайонная инспекция Федеральной налоговой службы № 46 по г. Москве;NULL;NULL;NULL;7710021008;2001-01-21 21:00:00.000;Инспекция Федеральной налоговой службы № 3 по г.Москве;NULL;NULL;NULL;другая
